codigo_ibge,unidades_locais_2022,pessoal_ocupado_2022,pessoal_assalariado_2022,salario_medio_sm_2022,salario_medio_reais_2022,unidades_locais_2023,pessoal_ocupado_2023,pessoal_assalariado_2023,salario_medio_sm_2023,salario_medio_reais_2023
4304200,1179,7214,5876,2.0,2438.85,1226,7301,5908,2.0,2594.36
4304309,346,1642,1296,2.5,2986.75,364,1685,1316,2.4,3168.48
4304358,437,2894,2493,4.3,5250.89,448,2997,2569,4.1,5393.09
4304408,3871,15318,10735,2.3,2814.80,4112,15600,10814,2.4,3137.65
4304507,1798,7016,4936,2.4,2851.23,1852,7229,5078,2.3,3017.47
4304606,21049,112391,86750,2.9,3509.04,21877,113871,87532,2.8,3684.05
4304614,98,270,174,2.2,2718.01,99,283,192,2.2,2941.05
4304622,88,334,253,3.0,3618.26,92,349,269,3.0,3923.91
4304630,5613,19150,13681,2.2,2652.80,5912,20146,14304,2.2,2873.24
4304655,105,460,363,3.6,4324.31,112,459,360,3.3,4310.86
4304663,765,4567,3768,2.3,2800.80,784,4317,3497,2.5,3259.01
4304671,303,1351,1004,2.5,3067.72,329,1483,1098,2.4,3186.82
4304689,382,1851,1442,1.9,2271.99,400,1867,1449,2.0,2650.40
4304697,130,568,427,2.1,2522.28,132,601,469,2.2,2847.18
4304705,3969,19381,14668,2.5,2987.18,4086,19776,14821,2.5,3221.58
4304713,241,1319,1080,1.6,1933.49,276,1362,1087,1.6,2155.22
4304804,2410,16721,13678,3.3,3973.34,2456,17558,14323,3.3,4345.91
4304853,60,234,176,2.3,2778.88,67,208,154,2.6,3408.31
4304903,861,4070,2912,2.3,2801.62,880,4342,3145,2.3,3046.85
4304952,193,676,487,2.2,2652.04,200,676,478,2.2,2838.55
4305009,415,1545,1116,2.1,2570.11,419,1539,1103,2.3,3061.05
4305108,39159,211040,160468,2.9,3530.85,40857,216460,163246,2.9,3782.32
4305116,140,391,246,2.4,2893.31,149,480,325,2.4,3209.94
4305124,140,580,452,2.1,2603.82,146,599,469,2.0,2664.40
4305132,137,513,399,2.2,2668.73,145,509,387,2.4,3107.82
4305157,114,366,269,2.2,2616.69,113,363,261,2.1,2785.78
4305173,349,1414,1022,2.2,2658.23,359,1431,1034,2.2,2901.28
4305207,795,4221,3271,2.3,2846.79,845,4263,3253,2.3,3072.46
4305306,571,2709,2051,2.1,2581.37,580,2884,2198,2.2,2912.15
4305355,1699,8765,6940,2.7,3246.38,1738,8752,6878,2.6,3436.65
4305371,108,331,203,2.6,3197.00,115,363,227,2.5,3290.23
4305405,239,993,752,1.9,2359.97,254,1070,798,1.9,2474.06
4305439,673,2857,2155,1.8,2154.51,698,2931,2205,1.7,2290.64
4305447,139,535,403,2.5,3074.42,138,543,412,2.5,3321.37
4305454,693,2780,2097,2.1,2508.30,716,2867,2155,2.0,2680.62
4305504,308,960,630,1.9,2340.32,325,1034,679,1.9,2552.60
4305587,181,596,392,2.1,2596.53,185,611,407,2.2,2852.05
4305603,190,717,514,2.7,3281.60,190,710,512,2.8,3704.35
4305702,454,2519,1887,2.5,3043.75,476,2612,1981,2.5,3278.81
4305801,721,2857,1981,1.9,2352.76,749,2906,1992,2.0,2569.71
4305835,67,211,123,2.8,3337.81,69,227,141,2.7,3555.65
4305850,131,438,307,2.5,2970.01,137,467,315,2.6,3372.91
4305871,177,663,470,2.9,3472.07,181,675,473,2.9,3845.42
4305900,322,1205,894,2.1,2594.44,329,1181,867,2.3,3007.38
4305934,74,244,154,3.0,3626.43,81,242,146,2.9,3810.33
4305959,259,1074,750,2.2,2668.82,270,1158,801,2.4,3112.25
4305975,143,765,595,3.2,3891.74,151,846,666,3.5,4557.84
4306007,624,3121,2453,1.9,2293.01,652,3142,2432,2.0,2639.54
4306056,345,3012,2652,1.6,1970.67,367,3081,2702,1.6,2105.26
4306072,113,343,242,2.1,2584.25,111,365,272,2.1,2766.63
4306106,3518,16932,12752,2.5,3087.91,3630,17083,12796,2.5,3276.59
4306130,64,267,200,2.5,2985.52,74,285,216,2.7,3611.36
4306205,654,3771,2939,2.5,3031.68,683,3781,2930,2.5,3287.36
4306304,311,1045,656,2.1,2544.87,332,1050,632,2.2,2838.12
4306320,83,413,354,2.3,2841.23,95,446,379,2.3,3071.00
4306353,64,232,172,2.5,3083.24,79,264,194,2.5,3302.30
4306379,95,430,346,2.5,3049.65,104,461,372,2.5,3332.30
4306403,2099,15098,12361,2.5,3004.29,2192,14772,11920,2.5,3237.05
4306429,79,329,263,2.3,2833.35,84,348,274,2.4,3131.83
4306452,274,947,601,2.1,2489.90,284,992,635,2.1,2793.83
4306502,406,1463,1063,2.0,2449.23,423,1536,1129,2.0,2654.63
4306551,140,517,388,2.0,2454.29,143,470,335,2.1,2735.99
4306601,1585,7015,5254,2.2,2711.72,1633,7238,5448,2.2,2957.24
4306700,144,494,359,2.3,2838.74,143,498,360,2.3,3016.90
4306734,175,686,514,2.5,2998.33,187,718,538,2.3,3085.46
4306759,122,478,326,2.1,2532.71,126,487,328,2.0,2685.08
4306767,1716,20906,18882,3.7,4489.31,1772,19076,16998,3.8,4935.57
