codigo_ibge,vab_total_mil_2019_2021,vab_agro_mil,vab_industria_mil,vab_servicos_mil,vab_adm_publica_mil,pct_agro,pct_industria,pct_servicos,pct_adm_publica,anos_usados
4307302,778032,349630,45560,263915,118927,44.94,5.86,33.92,15.29,3
4307401,780202,469993,25486,203793,80931,60.24,3.27,26.12,10.37,3
4307450,273087,136487,14252,54899,67448,49.98,5.22,20.10,24.70,3
4307500,2221589,737696,222905,997991,262996,33.21,10.03,44.92,11.84,3
4307559,759640,121355,169639,350928,117717,15.98,22.33,46.20,15.50,3
4307609,4385857,13731,1475653,2059727,836746,0.31,33.65,46.96,19.08,3
4307708,8911253,6475,2316300,5027011,1561465,0.07,25.99,56.41,17.52,3
4307807,4952381,314166,1848014,2219825,570377,6.34,37.32,44.82,11.52,3
4307815,413935,212317,12470,107094,82055,51.29,3.01,25.87,19.82,3
4307831,743154,435210,55453,183557,68932,58.56,7.46,24.70,9.28,3
4307864,438476,134279,157950,83439,62810,30.62,36.02,19.03,14.32,3
4307906,9486352,477752,3520023,4355678,1132900,5.04,37.11,45.92,11.94,3
4308003,641256,73826,84255,367861,115314,11.51,13.14,57.37,17.98,3
4308052,228807,117307,12837,47350,51312,51.27,5.61,20.69,22.43,3
4308078,323554,84474,44469,104559,90053,26.11,13.74,32.32,27.83,3
4308102,1345871,59523,314601,748690,223057,4.42,23.38,55.63,16.57,3
4308201,5143231,341449,2425996,1858598,517186,6.64,47.17,36.14,10.06,3
4308250,217507,119724,10421,43077,44286,55.04,4.79,19.80,20.36,3
4308300,651470,144383,33948,307361,165780,22.16,5.21,47.18,25.45,3
4308409,651983,263541,68576,193013,126853,40.42,10.52,29.60,19.46,3
4308433,145995,57691,10966,27072,50265,39.52,7.51,18.54,34.43,3
4308458,1059714,560986,33893,359350,105487,52.94,3.20,33.91,9.95,3
4308508,3449873,310512,619413,2016772,503175,9.00,17.95,58.46,14.59,3
4308607,6251024,157057,3037237,2480688,576041,2.51,48.59,39.68,9.22,3
4308656,463439,282972,12877,92749,74842,61.06,2.78,20.01,16.15,3
4308706,686354,190738,165060,230998,99559,27.79,24.05,33.66,14.51,3
4308805,595080,297430,28588,134061,135001,49.98,4.80,22.53,22.69,3
4308854,396466,211297,11553,126543,47074,53.30,2.91,31.92,11.87,3
4308904,1905107,344813,340573,940371,279352,18.10,17.88,49.36,14.66,3
4309001,2553692,995952,312672,932607,312461,39.00,12.24,36.52,12.24,3
4309050,910332,69538,449147,232131,159516,7.64,49.34,25.50,17.52,3
4309100,6109087,57697,894942,4278877,877572,0.94,14.65,70.04,14.37,3
4309126,206082,113142,9834,32118,50988,54.90,4.77,15.59,24.74,3
4309159,270037,135609,9400,39122,85907,50.22,3.48,14.49,31.81,3
4309209,27751019,55237,11619774,11843547,4232460,0.20,41.87,42.68,15.25,3
4309258,264957,159004,8764,58790,38397,60.01,3.31,22.19,14.49,3
4309308,13340279,148138,4011559,7482041,1698541,1.11,30.07,56.09,12.73,3
4309407,2768260,203890,932332,1198269,433770,7.37,33.68,43.29,15.67,3
4309506,860581,265514,98258,362078,134731,30.85,11.42,42.07,15.66,3
4309555,552350,84550,147688,228101,92011,15.31,26.74,41.30,16.66,3
4309571,189029,81947,5898,36206,64978,43.35,3.12,19.15,34.37,3
4309605,4732737,298239,2572903,1463318,398277,6.30,54.36,30.92,8.42,3
4309654,648546,208216,168299,145439,126591,32.11,25.95,22.43,19.52,3
4309704,529458,216390,28988,196579,87500,40.87,5.48,37.13,16.53,3
4309753,274971,108282,24632,57865,84192,39.38,8.96,21.04,30.62,3
4309803,774611,388388,57461,231324,97438,50.14,7.42,29.86,12.58,3
4309902,817624,331243,38091,315573,132717,40.51,4.66,38.60,16.23,3
4309951,435910,235914,13081,102767,84147,54.12,3.00,23.58,19.30,3
4310009,3526760,817597,849742,1502535,356886,23.18,24.09,42.60,10.12,3
4310108,4834294,15440,2463956,1756963,597934,0.32,50.97,36.34,12.37,3
4310207,12127613,836974,2929223,6628327,1733090,6.90,24.15,54.65,14.29,3
4310306,347553,112971,42605,116867,75110,32.50,12.26,33.63,21.61,3
4310330,1576738,5850,159197,901276,510415,0.37,10.10,57.16,32.37,3
4310363,1335406,85417,942535,238626,68828,6.40,70.58,17.87,5.15,3
4310405,954894,408219,116903,304740,125033,42.75,12.24,31.91,13.09,3
4310413,241027,127154,9445,51535,52893,52.76,3.92,21.38,21.94,3
4310439,677623,330578,57058,171172,118814,48.78,8.42,25.26,17.53,3
4310462,370541,207264,21168,90787,51322,55.94,5.71,24.50,13.85,3
